size(kb) num_mutants num_tests
203 972 13 /scratch/alipour/data-mu-issta2015/json/hadoop-sampling.sqlite.db
238 1177 14 /scratch/alipour/data-mu-issta2015/json/spark.sqlite.db
7 4612 4 /scratch/alipour/data-mu-issta2015/json/messenger.sqlite.db
220 629 21 /scratch/alipour/data-mu-issta2015/json/freehep-argv.sqlite.db
927 1143 55 /scratch/alipour/data-mu-issta2015/json/haivvreo.sqlite.db
308 741 25 /scratch/alipour/data-mu-issta2015/json/js2j.sqlite.db
10 815 4 /scratch/alipour/data-mu-issta2015/json/commons-jcs-jcache-extras.sqlite.db
92 4040 12 /scratch/alipour/data-mu-issta2015/json/AirReceiver.sqlite.db
0 2555 0 /scratch/alipour/data-mu-issta2015/json/Alphabot.sqlite.db
84 283 10 /scratch/alipour/data-mu-issta2015/json/jackson-datatype-jsr353.sqlite.db
36 243 8 /scratch/alipour/data-mu-issta2015/json/jackson-datatype-json-org.sqlite.db
1042 1584 49 /scratch/alipour/data-mu-issta2015/json/jobConfigHistory-plugin.sqlite.db
0 10 1 /scratch/alipour/data-mu-issta2015/json/jabara-jax-rs.sqlite.db
0 90 0 /scratch/alipour/data-mu-issta2015/json/jaide-s3.sqlite.db
233 457 39 /scratch/alipour/data-mu-issta2015/json/jackson-datatype-joda.sqlite.db
6 704 3 /scratch/alipour/data-mu-issta2015/json/http-tap.sqlite.db
38 121 15 /scratch/alipour/data-mu-issta2015/json/longcat.sqlite.db
40 101 12 /scratch/alipour/data-mu-issta2015/json/vraptor-authentication.sqlite.db
0 85 0 /scratch/alipour/data-mu-issta2015/json/swiftriver-api-java.sqlite.db
13 836 6 /scratch/alipour/data-mu-issta2015/json/athena.sqlite.db
21 46 6 /scratch/alipour/data-mu-issta2015/json/arguments.sqlite.db
169 519 7 /scratch/alipour/data-mu-issta2015/json/maven-git-commit-id-plugin.sqlite.db
773 4172 10 /scratch/alipour/data-mu-issta2015/json/compress.sqlite.db
266 343 21 /scratch/alipour/data-mu-issta2015/json/TEH.sqlite.db
24 234 4 /scratch/alipour/data-mu-issta2015/json/cli-test.sqlite.db
17 140 2 /scratch/alipour/data-mu-issta2015/json/paper2ebook.sqlite.db
28 932 11 /scratch/alipour/data-mu-issta2015/json/zt-zip.sqlite.db
99 1301 5 /scratch/alipour/data-mu-issta2015/json/jitescript.sqlite.db
42 310 11 /scratch/alipour/data-mu-issta2015/json/metabroadcast-test02.sqlite.db
0 318 0 /scratch/alipour/data-mu-issta2015/json/storm-esper.sqlite.db
14 985 4 /scratch/alipour/data-mu-issta2015/json/cassandra-triggers.sqlite.db
67 1421 11 /scratch/alipour/data-mu-issta2015/json/java-simplegeo.sqlite.db
0 801 0 /scratch/alipour/data-mu-issta2015/json/JavaBeanstalkClient.sqlite.db
38 987 3 /scratch/alipour/data-mu-issta2015/json/command-manager.sqlite.db
76 1007 9 /scratch/alipour/data-mu-issta2015/json/murdock.sqlite.db
25 608 15 /scratch/alipour/data-mu-issta2015/json/Halleck.sqlite.db
1775 1605 91 /scratch/alipour/data-mu-issta2015/json/options-util.sqlite.db
475 1197 47 /scratch/alipour/data-mu-issta2015/json/jongo.sqlite.db
16 1221 2 /scratch/alipour/data-mu-issta2015/json/stripe-java.sqlite.db
206 6868 19 /scratch/alipour/data-mu-issta2015/json/jedis.sqlite.db
283 1427 18 /scratch/alipour/data-mu-issta2015/json/xmlio.sqlite.db
20 895 4 /scratch/alipour/data-mu-issta2015/json/java-merge-sort.sqlite.db
79 744 10 /scratch/alipour/data-mu-issta2015/json/omicron.sqlite.db
914 1589 46 /scratch/alipour/data-mu-issta2015/json/geohash-java.sqlite.db
15182 3759 498 /scratch/alipour/data-mu-issta2015/json/cli2.sqlite.db
4873 2071 682 /scratch/alipour/data-mu-issta2015/json/beanutils2.sqlite.db
231 1621 8 /scratch/alipour/data-mu-issta2015/json/geo-scheduling.sqlite.db
3608 992 109 /scratch/alipour/data-mu-issta2015/json/annotation-cli.sqlite.db
3800 2566 216 /scratch/alipour/data-mu-issta2015/json/java-classmate.sqlite.db
5 1470 1 /scratch/alipour/data-mu-issta2015/json/flatfile.sqlite.db
0 74 0 /scratch/alipour/data-mu-issta2015/json/fileupload.sqlite.db
1 180 2 /scratch/alipour/data-mu-issta2015/json/job-node-stalker.sqlite.db
646 2543 57 /scratch/alipour/data-mu-issta2015/json/jmxterm.sqlite.db
3 9881 2 /scratch/alipour/data-mu-issta2015/json/AntiCheat.sqlite.db
47 111087 4 /scratch/alipour/data-mu-issta2015/json/clyde.sqlite.db
14 190 3 /scratch/alipour/data-mu-issta2015/json/jenkins-notification-sample.sqlite.db
640 3575 36 /scratch/alipour/data-mu-issta2015/json/workflow.sqlite.db
1086 5999 29 /scratch/alipour/data-mu-issta2015/json/violations-plugin.sqlite.db
1339 6067 119 /scratch/alipour/data-mu-issta2015/json/commons-math_l10n.sqlite.db
51 669 27 /scratch/alipour/data-mu-issta2015/json/microsoft-translator-java-api.sqlite.db
106 139 10 /scratch/alipour/data-mu-issta2015/json/spring-cli.sqlite.db
82 193 19 /scratch/alipour/data-mu-issta2015/json/dojo-guava.sqlite.db
0 71 0 /scratch/alipour/data-mu-issta2015/json/gabvargasuabcoop1pro6jaxb.sqlite.db
0 16 0 /scratch/alipour/data-mu-issta2015/json/IpponRecrute.sqlite.db
1 5 3 /scratch/alipour/data-mu-issta2015/json/commad-pattern-with-guice.sqlite.db
2363 2366 69 /scratch/alipour/data-mu-issta2015/json/jackson-module-afterburner.sqlite.db
3 47 1 /scratch/alipour/data-mu-issta2015/json/Spell.sqlite.db
